left_index,right_index,left_ns,right_ns,elapsed_ns,signed_delta_ns,absolute_delta_ns,left_interval_ns,right_interval_ns,within_0_5_ms,within_2_ms
2813,2813,1789458667997282000,1789458667997254000,93832549000,28000,28000,33368000,33369000,True,True
2814,2814,1789458668030654000,1789458668030624000,93865921000,30000,30000,33372000,33370000,True,True
2815,2815,1789458668064024000,1789458668063997000,93899291000,27000,27000,33370000,33373000,True,True
2816,2816,1789458668097394000,1789458668097366000,93932661000,28000,28000,33370000,33369000,True,True
2817,2817,1789458668130766000,1789458668130737000,93966033000,29000,29000,33372000,33371000,True,True
2818,2818,1789458668164137000,1789458668164107000,93999404000,30000,30000,33371000,33370000,True,True
2819,2819,1789458668197507000,1789458668197477000,94032774000,30000,30000,33370000,33370000,True,True
2820,2820,1789458668230881000,1789458668230848000,94066148000,33000,33000,33374000,33371000,True,True
2821,2821,1789458668264255000,1789458668264220000,94099522000,35000,35000,33374000,33372000,True,True
2822,2822,1789458668297624000,1789458668297591000,94132891000,33000,33000,33369000,33371000,True,True
2823,2823,1789458668330995000,1789458668330962000,94166262000,33000,33000,33371000,33371000,True,True
2824,2824,1789458668364366000,1789458668364334000,94199633000,32000,32000,33371000,33372000,True,True
2825,2825,1789458668397736000,1789458668397702000,94233003000,34000,34000,33370000,33368000,True,True
2826,2826,1789458668431107000,1789458668431073000,94266374000,34000,34000,33371000,33371000,True,True
2827,2827,1789458668464480000,1789458668464445000,94299747000,35000,35000,33373000,33372000,True,True
2828,2828,1789458668497849000,1789458668497814000,94333116000,35000,35000,33369000,33369000,True,True
2829,2829,1789458668531219000,1789458668531186000,94366486000,33000,33000,33370000,33372000,True,True
2830,2830,1789458668564589000,1789458668564554000,94399856000,35000,35000,33370000,33368000,True,True
2831,2831,1789458668597963000,1789458668597923000,94433230000,40000,40000,33374000,33369000,True,True
2832,2832,1789458668631336000,1789458668631294000,94466603000,42000,42000,33373000,33371000,True,True
2833,2833,1789458668664707000,1789458668664666000,94499974000,41000,41000,33371000,33372000,True,True
2834,2834,1789458668698077000,1789458668698036000,94533344000,41000,41000,33370000,33370000,True,True
2835,2835,1789458668731448000,1789458668731406000,94566715000,42000,42000,33371000,33370000,True,True
2836,2836,1789458668764822000,1789458668764778000,94600089000,44000,44000,33374000,33372000,True,True
2837,2837,1789458668798194000,1789458668798148000,94633461000,46000,46000,33372000,33370000,True,True
2838,2838,1789458668831566000,1789458668831519000,94666833000,47000,47000,33372000,33371000,True,True
2839,2839,1789458668864936000,1789458668864889000,94700203000,47000,47000,33370000,33370000,True,True
2840,2840,1789458668898305000,1789458668898260000,94733572000,45000,45000,33369000,33371000,True,True
2841,2841,1789458668931677000,1789458668931630000,94766944000,47000,47000,33372000,33370000,True,True
2842,2842,1789458668965047000,1789458668965001000,94800314000,46000,46000,33370000,33371000,True,True
2843,2843,1789458668998415000,1789458668998370000,94833682000,45000,45000,33368000,33369000,True,True
2844,2844,1789458669031789000,1789458669031742000,94867056000,47000,47000,33374000,33372000,True,True
2845,2845,1789458669065157000,1789458669065113000,94900424000,44000,44000,33368000,33371000,True,True
2846,2846,1789458669098527000,1789458669098481000,94933794000,46000,46000,33370000,33368000,True,True
2847,2847,1789458669131896000,1789458669131851000,94967163000,45000,45000,33369000,33370000,True,True
2848,2848,1789458669165266000,1789458669165222000,95000533000,44000,44000,33370000,33371000,True,True
2849,2849,1789458669198634000,1789458669198591000,95033901000,43000,43000,33368000,33369000,True,True
2850,2850,1789458669232004000,1789458669231962000,95067271000,42000,42000,33370000,33371000,True,True
2851,2851,1789458669265373000,1789458669265331000,95100640000,42000,42000,33369000,33369000,True,True
2852,2852,1789458669298743000,1789458669298702000,95134010000,41000,41000,33370000,33371000,True,True
2853,2853,1789458669332114000,1789458669332072000,95167381000,42000,42000,33371000,33370000,True,True
2854,2854,1789458669365488000,1789458669365441000,95200755000,47000,47000,33374000,33369000,True,True
